PREDICTED,SCORE,DOCUMENT_ID,SENTENCE
10.0,10.0,34137724,people are friendly and easy to talk to making for a pleasant experience
10.0,10.0,34137725,not only was the process quick but better rates also
10.0,10.0,34137726,approve me for this loan has helped my family and i so much being able to assist me in my current situation
10.0,9.0,34137742,credit card debt
10.0,10.0,34137743,the process was easy and quick
10.0,8.0,34137744,the ability to see the amount and different rates from which are available
10.0,10.0,34137745,efficiency of the process
10.0,9.0,34137746,fairly easy procesd
10.0,10.0,34137747,very easy to get loan
10.0,10.0,34137760,time
10.0,10.0,34137764,it was quick and easy
10.0,10.0,34137767,ease of process
10.0,10.0,34137768,very quick and easy process
10.0,10.0,34137770,thank you the process was as easy as it could have possibly been to obtain the loan and i appreciate it
10.0,10.0,34137786,the response to my acceptance was very quick  i really needed this loan it was a life saver  thank you bestegg i am so happy and grateful
10.0,10.0,34137787,it was so quick and easy to get my loan
10.0,10.0,34137788,i talked to lauren i had to call she was very helpful and very considerate she did during the loan process there were some delays with it she ultimately had to work on the loan process and said she would call back i appreciate her professionalism and kindness
10.0,10.0,34137790,friendly people answered any questions seemed to good to be true money was in the bank in no time at all everything was so easy
10.0,10.0,34137791,the process was fast and acurate
10.0,10.0,34137795,the loan process with simple and fast
10.0,10.0,34137809,the automatic payments are also so easy i would recommend best egg to everyone thank you completely satisfied best egg is the easiest fastest loan i have ever tried to receive
10.0,10.0,34137813,simple process to receive the loan
10.0,10.0,34137822,su rapidez y eficiencia como su responsabilidad
10.0,10.0,34137823,read the reviews and most said quick and easy and when i applied it was quick and easy 
10.0,9.0,34137835,it was fast and easy and i received the best interest rate
10.0,9.0,34137836,the process went smoothly
10.0,10.0,34137852,to pay off a high intrested credit card
8.0,9.0,34137854,that is a  the origination fees for a largely automated process are steep that is  it was quick and easy 
10.0,10.0,34137855,everything is up front and straight to the point process was smooth and not a lot to require to be approved
10.0,7.0,34137856,easy to work with
10.0,9.0,34137858,very quick response and approval times
10.0,10.0,34137880,i thought the process was very fast and super easy to complete
10.0,10.0,34137899,how quick and east it was to get approved and money deposited i also liked the fact that everything could be done online
10.0,10.0,34137902,overall experience was great
10.0,9.0,34137903,it was quick and easy and it did not affect my credit score
10.0,7.0,34137904,it was an easy process
10.0,10.0,34137906,quick easy and felt very secure the additional options were appreciated the rates were understandable for my credit history
10.0,10.0,34137915,the speed in which the transaction took place 
10.0,10.0,34137921,received my funds quickly preapproval was true
10.0,10.0,34137922,how quick and easy it was for me to get the loan
10.0,10.0,34137924,very smooth and fast
10.0,10.0,34137928,fast funds no hassle
10.0,10.0,34137947,kept me updated on the process during the procedure of the processing of the loan professional and expedient
10.0,10.0,34137948,customer service was prompt and helpful when needed best egg made the loan application process seamless it was a smooth process overall i am really happy with the experience and would definitely recommend best egg to others i had the funds within a few days i had been shopping for a personal loan for a while but did not want to deal with a lengthy application process and time spent gathering documents etc
10.0,10.0,34137950,good
10.0,10.0,34137959,the money was in my account the day after the loan was approved the loan process was simple
10.0,10.0,34137967,the ease of the process the speed of fulfillment
10.0,10.0,34137969,it was a painless experience everyone i spoke was cordial and willing to help
10.0,10.0,34137970,i appreciate the process they use to ensure immediate assistance this is the  loan that i have received from best egg
10.0,10.0,34137971,i had an excellent experience the application process was so fast and easy my loan was funded very quickly the website kept me updated on the status of my loan
10.0,10.0,34137975,very good customer service
10.0,10.0,34137991,yes
10.0,10.0,34137994,easy
10.0,9.0,34137995,seamless process
10.0,10.0,34137996,i appreciate your help and i have seen it twice so i am convinced that best egg is a great company
10.0,10.0,34138010,i love the ease and convenience of doing business with bedt egg i have not been turned down once customer service is 
10.0,10.0,34138014,the process was seamless customer support was helpful and i have already recommended it to a friend
10.0,10.0,34138015,speed ease
10.0,10.0,34138017,fast and easy
10.0,10.0,34138020,interest rates  knowledge of workers
10.0,10.0,34138031,good interest rates very quick and easy
10.0,10.0,34138036,very quick and fast
10.0,8.0,34138037,process was easy and approval time was very fast
10.0,10.0,34138052,the clear terms and quick deposit
10.0,9.0,34138059,very good people to deal with would recommend them to anybody
10.0,10.0,34138061,fast and quick loan
8.0,9.0,34138073,seems a little backward only complaint is money was in my account while i was still waiting to hear if approved
10.0,10.0,34138081,so easy to get it done
10.0,9.0,34138082,quick and efficient process and very easy to apply for a loan
10.0,10.0,34138092,the process was fast and simple
10.0,10.0,34138102,quick and easy front start to finish
10.0,10.0,34138119,to pay all my bills off and build my credit
8.0,8.0,34138120,i know i would mention my experience i suppose different needs might find a better option it was a great loan for my purposes
10.0,10.0,34138124,it was easy the money came quickly
10.0,10.0,34138141,ease of application and rates offered
10.0,10.0,34138142,ease of app process quick funding auto payment set up quickly
10.0,10.0,34138144,there is not just one excellent rate convenience speed
10.0,10.0,34138145,needed a way to pay off credit cards at a reasonable rate
10.0,10.0,34138151,because the form was easy to fill out and the funding was done in just a few days
10.0,8.0,34138162,great service
10.0,10.0,34138163,fast  easy and fair
10.0,10.0,34138164,ease of process
8.0,7.0,34138165,personable service good rate and quick delivery though the fee was high
10.0,10.0,34138166,the process was so easy and quick
10.0,10.0,34138167,hassle free loan processing
10.0,10.0,34138182,customer service
10.0,10.0,34138183,the loan process was easy and fast
10.0,10.0,34138185,the speed and ease of the loan process
10.0,8.0,34138186,the short time it takes to be approved for a loan
10.0,10.0,34138187, stars seamless qualification process with speedy arrival of funds great service across the board
10.0,10.0,34138196,the loan process was very simple and fast
10.0,10.0,34138200,thank you very much best egg i will be able to pay off my credit cardsbecause if she will like i was not getting anywhere with monthly payments
10.0,9.0,34138205,the fees were reasonable the process was simple
10.0,10.0,34138206,i have already recommended best egg to others i was able to consolidate  payments and stop the hospital bill calls
8.0,8.0,34138207,very simple and easy would have been a  but interest rates stopped that they were a little high
10.0,10.0,34138209,the associate i spoke with on the phone went above and beyond helping me to download the information she needed
10.0,10.0,34138210,your staff
10.0,7.0,34138217,i was satisfied
10.0,10.0,34138222,i was approved immediately and received the funds withing  days everything was easy to do
8.0,9.0,34138224,based on the info received in the mail about the low interest rate and how much money they were going to save me and then seeing the actual rate  what a difference  so much higher  it is like the bate and switch you get at some big box stores if they want to be honest they should publish the  or  or higher interest rate  that would be the honest thing to do
10.0,9.0,34138226,i received my money fairly quickly
10.0,10.0,34138227,quick cash
10.0,10.0,34138228,good apr and length of loan terms fast and in the amount we requested
10.0,9.0,34138229,best egg came thru for me when i needed help
10.0,10.0,34138231,because the loan process was very straight forward
10.0,10.0,34138247,best interest rate and monthly payment
10.0,10.0,34138260,a very quick reply from best egg
10.0,10.0,34138264,i do not know
10.0,10.0,34138265,fast private and convenient
10.0,8.0,34138267,ease and quickness
10.0,9.0,34138268,ease of application and speed of process
10.0,10.0,34138284,they helped me in a heart beat with a great apr i called best egg this is my second loan with best egg i had a  thousand dollar loan they are the only ones that helped me when i need a loan they gave  apr rate i paid off my loan i needed a second loan i called two other companies a very stupid thing i did yes i recommend best egg those companies national something and accur something i can not remember there name were ridiculous
10.0,9.0,34138286,ease of transaction
10.0,8.0,34138291,to check on how you pay your debts
10.0,10.0,34138292,it was easy and confidential
10.0,10.0,34138307,hassle free convenient
10.0,10.0,34138309,good service fast approval and funds
10.0,10.0,34138329,they were fast and friendly
10.0,10.0,34138333,getting the loan was quick easy and convenient thank you
10.0,10.0,34138336,easy fast and this is my second loan that is helping me get my credit back in shape for a brighter future
10.0,9.0,34138337,ease of applying and the rates available
10.0,10.0,34138343,fast payment
10.0,10.0,34138345,the convenience of applying for it and how prompt they could deposit the loan to my account
10.0,10.0,34138350,it was a life saver bailed me out
10.0,10.0,34138354,ease of doing business fast simple and gave me a very attractive rate compared to other lenders
10.0,10.0,34138358,ease of application and a fair interest rate
10.0,10.0,34138373,easy to apply
10.0,10.0,34138376,the quick service i received without any hassle
10.0,10.0,34138377,so quick and easy made personal calls
10.0,10.0,34138378,prompt and efficient
10.0,10.0,34138394,get low rates
10.0,10.0,34138396,it was easy
10.0,10.0,34138397,the quickness of the processing
10.0,10.0,34138399,convince  promptness of response
10.0,10.0,34138401,timely payments
10.0,10.0,34138403,fast aproval low interest rates as well as quick transfer of the money  everything what a client really wants great job
10.0,10.0,34138404,approval was quick and easy no red tape very efficient transaction they did what they said would be done
10.0,10.0,34138421,the interest rate was the best i had found the application process was quick and easy
10.0,10.0,34138422,service great thanx web site is set up well easy to get in through and out do not have to work at it like most
10.0,10.0,34138423,the loan went through smoothly and in a timely manner
10.0,10.0,34138424,the process was very easy the loan was approved quickly
10.0,9.0,34138426,the whole application process did not take long at all it was a very simple process because i had my documents accessible
10.0,10.0,34138430,fast service thanks
10.0,9.0,34138432,ease of the application  quick process time
10.0,10.0,34138436,when everyone else turned me down bestegg was there for me
10.0,10.0,34138438,easy to apply
10.0,9.0,34138443,easy application fast easy to set up payments and contact
10.0,10.0,34138444,insurance purposes and low interest rates
10.0,10.0,34138445,this process was very easy most lenders set up many hoops to jump through it was a very simple process
10.0,9.0,34138446,fast qualification easy to sign up not a low interest rate proceeds in  days
10.0,10.0,34138455,easy to apply and fast results
10.0,9.0,34138459,convenience and efficiency
10.0,10.0,34138460,quick easy process
8.0,7.0,34138461,process was fairly simple
10.0,10.0,34138473,quick and easy
10.0,10.0,34138479,it was quick and easy to apply
10.0,10.0,34138480,quick response
10.0,8.0,34138481,time of the process was very quick and easy
10.0,10.0,34138484,it was easy to apply for a lone
10.0,10.0,34138502,efficient and professional
10.0,9.0,34138503,ease of application and flexibility of seeing amounts combined with transparent fees
10.0,10.0,34138506,processing time
10.0,10.0,34138509,site is easy to navigate and response time is fast
10.0,10.0,34138516,speed and rate and low fee
10.0,10.0,34138523,fast also a very simplified process with great customer service
10.0,10.0,34138526,thanks very much always wanting to make sure my debt is paid in full and how important that really isyou guys make it very easy for people like myself
8.0,8.0,34138528,fairly simple process
10.0,10.0,34138544,quick to respond and easy to understand
10.0,10.0,34138545,easy and fast
10.0,10.0,34138546,easy and quick
10.0,10.0,34138547,it was an easy process
10.0,10.0,34138549,ease of process
10.0,9.0,34138563,how quick and easy the process was
10.0,10.0,34138564,speed and easiness of process of loan
10.0,10.0,34138565,easy process from beginning to end
10.0,10.0,34138566,no hassle convenient upfront information and convenience
10.0,10.0,34138567,easy process good rate good result
10.0,10.0,34138568,if all companies would be as straight forward as yours the world would be a better place the efficiency and the accuracy of the information provided
10.0,10.0,34138569,good credit
10.0,10.0,34138571,fast service with no hustle
10.0,10.0,34138572,process was simple quick and easy
10.0,10.0,34138583,worked with me to help meet my personal needs
10.0,10.0,34138588,the loan officer was professional honest and detailed orient she assisted me with and questions and concerns i had i was very pleased with the excellent service i received thanks
10.0,10.0,34138589,quick easy courteous online application process
10.0,10.0,34138590,quick accurate service
10.0,10.0,34138591,complete convenience and credibility
10.0,10.0,34138592,easy of application and sign up
10.0,9.0,34138596,streamline application process reasonable rates meeting you commitments
10.0,10.0,34138601,not sure what this question means
10.0,10.0,34138604,the funds were available within  days the application process was easy i was able to consolidate my debt best egg seems to have more reasonable rates then any other lenders
10.0,9.0,34138607,ease of use
10.0,10.0,34138608,quick turnaround
10.0,10.0,34138609,the most important reason for this score i was approve with no problem thank you
8.0,9.0,34138610,quick and painless loan process would liked to have a bit more for complete debt consolidation though
10.0,10.0,34138612,very friendly and fast
10.0,10.0,34138613,the process was very easy
10.0,10.0,34138623,thank you very much you are great for inform me and you did the loan sooner than i expected
10.0,10.0,34138626,easy and efficient
10.0,10.0,34138627,very convenient and straightforward
0.0,0.0,34138629,lastly there is nothing given to show how much of your payment is going to interest and how much to principal the interest rate i was initially quoted is not what is listed on my contract after the loan was dispursed customer service agents are not knowledgeable in answering questions i should not have to ask for this basic information
10.0,10.0,34138630,it was so easy to apply such an easy and pleasant experience for a change  i appreciated the quick approval as well as the turnaround time for the funds to be deposited in my account
10.0,10.0,34138631,everything went quick and everyone that i had to deal with was very helpful and friendly
10.0,9.0,34138632,easy communication process and fairly good interest rste
10.0,10.0,34138633,process was super fast
10.0,10.0,34138640,money arrives quickly and the automatic withdrawal is greatâ€”i do not have to remember to make the payment every month very quick and easy process i did my entire application on my phone and it was super fast
10.0,10.0,34138642,everything you said you would do is done
10.0,10.0,34138646,being responsible for purchases and whatever comes up i can get help when necessary
10.0,10.0,34138649,thanks very attentiveknowledgeablecapable service with patience to help process and secure loan  a pleasure to business with
10.0,9.0,34138652,quick easy and the process seemed pretty clear
10.0,10.0,34138653,it was so easy and quick
10.0,10.0,34138654,all the people were very helpful it was easy
10.0,10.0,34138657,i was also able to complete everything online which is very convenient this was a very quick and easy process
10.0,10.0,34138674,i got a good interest rate and it was simple this was absolutely the easiest loan i have ever received
10.0,10.0,34138675,i appreciate them being so quick to fund me and i would definitely recommend them i wanted to consolidate a couple of credit cards after having to run them up because of  recent deaths in the family and best egg was so easy to deal with
10.0,9.0,34138677,ease of application and funding
10.0,10.0,34138678,the convenience clarity  and speed of the process are all very positive aspects of the process of borrowing money with best egg
10.0,10.0,34138699,the easy process of getting a loan  the quickness of having the funds in my account was awesome
10.0,9.0,34138700,easy to apply reasonable rates
10.0,10.0,34138701,the staff was very nice and helpful in helping me
10.0,10.0,34138702,easy to apply
10.0,10.0,34138704,the customer service that was provided over the phone and the ease of the application
10.0,10.0,34138710,everyone was very kind and this was so simple
10.0,10.0,34138713,thank you the quick approval and the confidence in believing in me
10.0,10.0,34138715,it was so easy and fast only  phone call
8.0,9.0,34138717,i like that fact that you guys are quick but i do not like the loan origination fee and the fact that i did not get the amazon gift card because i was a few days late completing the application
10.0,10.0,34138722,easy process fast loan processing good interest rates if you have good credit rating
10.0,10.0,34138725,the whole process was very easy
10.0,10.0,34138727,i almost could not believe how fast i was approved and received my loan i would highly recommend bestegg if you are looking for a personal loan this loan is going to help me keep my good credit score and pay down high interest credit card bills
10.0,10.0,34138745,ease of use of system quick response and money in account fast
10.0,10.0,34138746,it was just a quick and easy process
10.0,9.0,34138762,clearing credit cards debts
10.0,8.0,34138763,speed efficiency no run around
10.0,10.0,34138764,super easy to use and great rates
10.0,9.0,34138765,easy to work with
10.0,9.0,34138787,i wanted the loan to to consolidate three accounts i have to pay off soonerraising my score but ultimately to be out of debt in preparation of retirement  years from now
10.0,10.0,34138788,it was fast and easy process 
10.0,10.0,34138807,no problems fast and easy
10.0,10.0,34138808,super easy and quick
10.0,10.0,34138809,ease of use
10.0,8.0,34138811,ease of processing
10.0,10.0,34138816,fast and friendly
10.0,10.0,34138821,process was quick and easy
10.0,10.0,34138832,it was a fast and simply process
10.0,10.0,34138833,the lady who called to finish my loan was very helpful very timely and efficient when i did not have a voided personal check she got a conference call with my bank and verified my information and the loan process was complete easy online experience
10.0,10.0,34138835,fast service
10.0,10.0,34138853,the process was quick and easy funding was available within  steps were clear
10.0,10.0,34138854,loan was easily approved
10.0,10.0,34138855,to be able to help my kids
10.0,10.0,34138857,high efficiency to help
10.0,10.0,34138874,easy and fast
10.0,8.0,34138875,quick and timeliness
10.0,10.0,34138877,the timeliness and applying was simple
10.0,10.0,34138878,ease of process
10.0,10.0,34138896,everything was easy and all answers were provided quickly and thoroughly
10.0,10.0,34138897,very timely very congenial very thorough
10.0,10.0,34138898,ease of application process
10.0,10.0,34138913,it was a fast and easy experience
10.0,6.0,34138915,very fast 
10.0,9.0,34138918,ease of doing business
10.0,10.0,34138919,this lender does not put you through a lot of hassle or misleading verbiage to deliver their product i am very impressed by best egg services the process was very fast simple and easy
10.0,10.0,34138921,quick and easy loan process
10.0,10.0,34138925,fast friendly and very understanding about my situation will definitely come back if ever need a loan again thank you so much
10.0,10.0,34138937,how easy the process was
10.0,10.0,34138939,the quick response
10.0,10.0,34138940,quick and simple
10.0,10.0,34138942,best egg makes it easy and comfortable to get an affordable loan
10.0,10.0,34138943,ease of process and competitive interest rate
10.0,8.0,34138946,consolidateion
10.0,8.0,34138958,the score is very important because when you need something is easier
10.0,10.0,34138961,very easily done
10.0,10.0,34138973,your origination fee is low your rate is fair your funding process was quick
10.0,9.0,34138977,professionalism shown
10.0,8.0,34138979,very easy application process and timely confirmation of funds available
10.0,10.0,34138980,fast and easy
10.0,10.0,34138982,fast turn around and easy
10.0,10.0,34138984,it was easy
10.0,10.0,34138985,very easy and quick
10.0,10.0,34139000,quick and i was kept updated at every step in the process
10.0,10.0,34139001,and my payment is a lot less than what i was paying each month i paid off a bunch of my bills and still had money left to help with our vacation i simply can not believe how easy it was to get a loan
10.0,10.0,34139002,had no issues with getting the loan and it was fast  day
10.0,10.0,34139004,got the money so quickly
10.0,10.0,34139005,easy to use fund get approved and the full digital process
10.0,10.0,34139012,i could not believe it how quick and easy it was
10.0,9.0,34139016,easy to apply and fast response
10.0,9.0,34139020,the process was efficient and quick
10.0,10.0,34139021,customer service seems to be very helpful easy to apply for the loan
10.0,8.0,34139023,ease and convenience
10.0,9.0,34139043,pleasantquick and easy experience
10.0,10.0,34139044,the ease in applying and how fast the loan was issued
10.0,10.0,34139045,your customer service is excellent best egg offered me the lower interest rate than other lender
10.0,9.0,34139048,fast and efficient
10.0,9.0,34139050,quick easy
10.0,9.0,34139056,when filling out the application i received a phone call right away and was told what the next step was in order to get the loan
10.0,10.0,34139058,quick service and how easy it was to navigate website
8.0,8.0,34139060,no way to win there speed of loan funding  good wished for slightly better rates to help with our credit card payoff but understand due to needing to pay off cc the rate was higher
10.0,10.0,34139065,fast easy and not misleading
10.0,10.0,34139066,easy to apply and when i called jennifer very helpful and got loan process
10.0,10.0,34139067,ease of loan
10.0,10.0,34139071,quick process and seems very fair do not require months of paychecks and mortgages and every other financial paper for a small loan that really helps people get by
10.0,10.0,34139072,easy process quick turnaround
10.0,10.0,34139084,many places offer loans i would recommend this one
10.0,10.0,34139085,the will work with you to make it happen
10.0,9.0,34139086,money was in account quickly i was approved my payments will come out same time every month so no suprises it was easy to apply
10.0,10.0,34139087,super quick service
10.0,10.0,34139092,you were not treated like just another customer the instructions were straightforward and not overwhelming it was a simple and quick process
10.0,8.0,34139096,it was easy enough
10.0,9.0,34139100,ease of getting the money
10.0,10.0,34139104,fair interest rates and quick easy process
10.0,8.0,34139108,the entire process was fast
10.0,10.0,34139109,i think that was his name easy no hassle process and professional staff starting with the initial conversation with avery
10.0,10.0,34139120,having the freedom to choose and not having to settle
10.0,10.0,34139122,fast and easy
10.0,10.0,34139124,it was so quick and very easy
10.0,10.0,34139125,ease of process
10.0,10.0,34139126,easy and quick
10.0,10.0,34139127,loan approval quick  easy representative was polite  helpful
10.0,10.0,34139128,very quick and efficient loan process stress free
10.0,10.0,34139129,customer service and quick action
10.0,10.0,34139130,very easy quick and no hassle
10.0,10.0,34139131,fast easy  great rate
10.0,10.0,34139132,loan information is very straightforward no hidden costs or gotchas quick and easy
10.0,10.0,34139153,customer service is very good
8.0,6.0,34139154,because it is a high fee high interest rate option
10.0,10.0,34139155,ie verifying everything electronically great customer service great followup and technology was outstanding
10.0,10.0,34139156,quick response and very easy
10.0,10.0,34139166,amazing experience really quick and easy to apply and get approved
10.0,10.0,34139174,quick service
10.0,10.0,34139175,the website was easy to use the  phone agents i spoke with were very nice and helpful
10.0,10.0,34139177,took no time at all to get approved and have the money in my account
10.0,10.0,34139178,i was impressed with the whole process i still can not believe how easy and transparent you make the loan application process
10.0,10.0,34139193,the use of the site and fast approval proccess
10.0,10.0,34139194,paying bills in a timely manner
10.0,9.0,34139195,fast response
10.0,10.0,34139196,ease of service
10.0,10.0,34139204,very easy very fast and a very fair rate
10.0,10.0,34139212,ease of application
10.0,10.0,34139231,pay the loan on time
10.0,9.0,34139236,the process was very fast and simple to complete
10.0,8.0,34139249,it was easy and quick funds were available faster than i expected
10.0,9.0,34139260,the process was easy and fast
10.0,9.0,34139263,making all payments more than minimum
10.0,10.0,34139267,was easy to apply and response was so fast
10.0,10.0,34139280,no back an forth all info was all taken care of up front
10.0,10.0,34139282,very fast and fast funding
10.0,10.0,34139300,the quick response and the professionalism
10.0,10.0,34139301,quick response
10.0,10.0,34139303,great customer service
10.0,10.0,34139304,extremely easy fast money deposited in a couple days
10.0,10.0,34139308,very quick and fair decision
10.0,10.0,34139320,easy process and great customer service
10.0,10.0,34139321,extremely easy to apply for and i was given information every step of the process from application to approval
10.0,10.0,34139323,quick easy effective
8.0,5.0,34139324,not sure i just signed up
10.0,10.0,34139325,good service
10.0,9.0,34139328,easy fast and friendly
10.0,9.0,34139334,they was quick and easy
10.0,9.0,34139341,an easy efficient and fast process
10.0,10.0,34139342,quick fast friendly
10.0,10.0,34139344,ease of service time to apply and receive funding
10.0,10.0,34139345,very smooth process and quick thank you
10.0,10.0,34139346,ease of process
10.0,10.0,34139349,speed and quality of service
10.0,8.0,34139357,ease of use
10.0,10.0,34139362,it was an easy and quick process
10.0,10.0,34139363,easy precess quick did not have to jump through a bunch of hoops like i do at my local bank
10.0,10.0,34139365,how fast and responsive your ability to process my application and fund my loan
10.0,10.0,34139366,the process was quick and easy and i feel that best egg looked at all of my on time payments as opposed to my actual credit score when deciding to fund me or not
10.0,10.0,34139371,fast reliable no nonsense service
10.0,9.0,34139384,easy access
10.0,10.0,34139385,process was very smooth
10.0,10.0,34139386,super easy and good rates
10.0,10.0,34139389,best percentage rate willing to work with
10.0,10.0,34139401,the loan was expedited very quickly the person i spoke with were awesome
10.0,9.0,34139407,the ease and promptness of the process your customer service staff was extremely helpful
10.0,10.0,34139408,make your payments on time
10.0,10.0,34139424,the customer representative was very helpful
10.0,10.0,34139425,easy quick no hassle
10.0,10.0,34139426,easy to work with no problems fast response thanks
10.0,10.0,34139427,best egg was just very helpful
10.0,10.0,34139448,simplicity of process
10.0,8.0,34139451,the process was straight forward
10.0,10.0,34139453,keep sending me  i am paying over  i am disappointed in the rate the quickness
10.0,10.0,34139471,simplicity and quick turn around
10.0,10.0,34139473,quickness ability to use my mobile device speed of funding
10.0,10.0,34139474,monies were deposited timely the process was quick and easy
10.0,10.0,34139476,easy to apply  no judgment
10.0,10.0,34139477,quick and easy not instrusive the money was put right in my account direct withdrawal of payments makes it easy to plan my budget and know i will never be late on a payment
10.0,10.0,34139479,ease of loan
10.0,10.0,34139486,they set it up for auto pay all i had to do was fill out the application the money hit my bank super fast easy
10.0,8.0,34139494,relative ease of application process
